region,week,revenue,units_sold,marketing_attributed_revenue,month,rep_attributed_revenue,marketing_attributed_revenue_share
West,28,51236.61,746,19649.45,2025-07,7251.1575,0.3835
West,29,51765.78,738,19789.35,2025-07,7251.1575,0.3823
West,30,50331.14,772,20281.79,2025-07,7251.1575,0.403
West,31,46223.91,721,20965.370000000003,2025-08,2321.9575,0.4536
West,32,43363.32,642,22166.21,2025-08,2321.9575,0.5112
West,33,43532.63,661,21796.24,2025-08,2321.9575,0.5007
West,34,47101.32,695,19295.67,2025-08,2321.9575,0.4097
West,35,45153.47,660,21917.28,2025-09,1976.148,0.4854
West,36,45301.77,675,23717.81,2025-09,1976.148,0.5236
West,37,44779.7,668,21778.42,2025-09,1976.148,0.4863
West,38,42470.12,639,21401.28,2025-09,1976.148,0.5039
West,39,46319.84,702,23382.68,2025-09,1976.148,0.5048
West,40,45580.01,662,20036.010000000002,2025-10,,0.4396
