region,product_category,week,revenue,units
Central,Home,5,9242.26,207
Central,Home,6,8541.16,189
Central,Home,7,7874.62,175
Central,Home,8,8402.68,185
Central,Home,9,7743.57,171
Central,Home,10,8575.539999999999,189
Central,Home,11,9445.67,210
Central,Home,12,7852.92,177
Central,Home,13,7906.64,176
Central,Home,14,8949.23,202
Central,Home,15,8143.58,183
Central,Home,16,9653.61,216
Central,Home,17,8954.04,195
Central,Home,18,8169.62,186
Central,Home,19,9051.380000000001,200
Central,Home,20,9451.92,210
Central,Home,21,8560.460000000001,189
Central,Home,22,10221.19,223
Central,Home,23,8320.36,185
Central,Home,24,8305.74,183
Central,Home,25,8538.210000000001,190
Central,Home,26,9376.210000000001,209
Central,Home,27,8416.42,184
Central,Home,28,9974.449999999999,226
Central,Home,29,9934.99,219
Central,Home,30,9395.27,209
Central,Home,31,8661.7,194
Central,Home,32,9016.4,198
Central,Home,33,9707.27,217
Central,Home,34,8444.18,187
Central,Home,35,8014.0,180
Central,Home,36,7462.4,168
Central,Home,37,7336.42,163
Central,Home,38,7966.7300000000005,178
Central,Home,39,8306.87,185
Central,Home,40,7281.34,162
Central,Outdoor,34,5143.08,85
Central,Outdoor,35,5935.58,99
Central,Outdoor,36,5872.03,99
Central,Outdoor,37,5553.42,92
Central,Outdoor,38,5089.45,86
Central,Outdoor,39,5478.79,92
Central,Outdoor,40,4426.37,71
East,Accessories,1,478.49,32
East,Accessories,2,453.81,30
East,Accessories,3,533.9,35
East,Accessories,4,514.81,34
East,Accessories,5,253.86,17
East,Accessories,6,545.93,36
East,Accessories,7,448.99,30
East,Accessories,8,494.41,33
East,Accessories,9,525.12,35
East,Accessories,10,375.82,25
East,Accessories,11,380.6,26
East,Accessories,12,432.01,29
East,Accessories,13,523.65,35
East,Accessories,14,404.88,27
East,Accessories,15,386.9,26
East,Accessories,16,502.66,34
East,Accessories,17,557.58,37
East,Accessories,18,415.99,27
East,Accessories,19,507.34,34
East,Accessories,20,446.21999999999997,29
East,Accessories,21,545.73,37
East,Accessories,22,457.05,30
East,Accessories,23,418.97,28
East,Accessories,24,533.24,35
East,Accessories,25,461.1,31
East,Accessories,26,499.77,33
East,Accessories,27,433.59,29
East,Accessories,28,537.56,36
East,Accessories,29,433.99,29
East,Accessories,30,546.75,36
East,Accessories,31,635.02,42
East,Accessories,32,420.51,28
East,Accessories,33,471.52,31
East,Accessories,34,469.62,31
East,Accessories,35,786.69,52
East,Accessories,36,496.03999999999996,33
East,Accessories,37,609.01,40
East,Accessories,38,393.02,26
East,Accessories,39,298.11,20
East,Accessories,40,446.05,30
East,Apparel,1,6119.31,203
East,Apparel,2,6764.179999999999,224
East,Apparel,3,6654.29,220
East,Apparel,4,6990.28,231
East,Apparel,5,7063.139999999999,233
East,Apparel,6,6882.41,231
East,Apparel,7,7073.25,237
East,Apparel,8,6914.96,226
East,Apparel,9,6859.7699999999995,232
East,Apparel,10,7882.59,260
East,Apparel,11,6877.49,228
East,Apparel,12,6807.12,232
East,Apparel,13,6979.01,233
East,Apparel,14,6860.55,235
East,Apparel,15,6581.72,219
East,Apparel,16,6249.08,209
East,Apparel,17,7531.66,253
East,Apparel,18,6847.67,228
East,Apparel,19,6525.13,217
East,Apparel,20,6782.19,226
East,Apparel,21,7069.11,234
East,Apparel,22,6667.57,223
East,Apparel,23,7019.41,233
East,Apparel,24,5840.05,195
East,Apparel,25,6895.5599999999995,231
East,Apparel,26,7467.41,252
East,Apparel,27,7662.6,257
East,Apparel,28,7911.09,266
East,Apparel,29,6820.64,230
East,Apparel,30,6752.75,222
East,Apparel,31,6088.349999999999,205
East,Apparel,32,7101.86,235
East,Apparel,33,7723.11,257
East,Apparel,34,7049.0,235
East,Apparel,35,6677.56,224
East,Apparel,36,7188.6,241
East,Apparel,37,7519.81,251
East,Apparel,38,6160.32,208
East,Apparel,39,6574.29,223
East,Apparel,40,7041.78,234
East,Electronics,1,32202.850000000002,270
East,Electronics,2,31033.93,259
East,Electronics,3,27920.29,233
East,Electronics,4,31839.44,264
East,Electronics,5,35899.85,293
East,Electronics,6,33140.37,277
East,Electronics,7,29497.52,249
East,Electronics,8,32475.66,267
East,Electronics,9,32459.899999999998,274
East,Electronics,10,29950.0,254
East,Electronics,11,30840.530000000002,257
East,Electronics,12,35212.909999999996,290
East,Electronics,13,27590.71,233
East,Electronics,14,31110.67,258
East,Electronics,15,30090.66,249
East,Electronics,16,34132.08,277
East,Electronics,17,30081.17,249
East,Electronics,18,32148.89,271
East,Electronics,19,30552.629999999997,256
East,Electronics,20,29432.059999999998,246
East,Electronics,21,29387.64,246
East,Electronics,22,33561.92,279
East,Electronics,23,30324.469999999998,255
East,Electronics,24,33006.5,281
East,Electronics,25,32458.86,271
East,Electronics,26,28034.42,237
East,Electronics,27,28879.260000000002,241
East,Electronics,28,34009.31,282
East,Electronics,29,33169.03,280
East,Electronics,30,33517.24,281
East,Electronics,31,31034.88,257
East,Electronics,32,31152.27,259
East,Electronics,33,29962.07,251
East,Electronics,34,28405.28,238
East,Electronics,35,31787.01,270
East,Electronics,36,32761.34,275
East,Electronics,37,29628.54,245
East,Electronics,38,31524.65,262
East,Electronics,39,35085.84,289
East,Electronics,40,32414.48,269
East,Home,1,8727.48,191
East,Home,2,8166.48,184
East,Home,3,8086.37,180
East,Home,4,8732.35,195
East,Home,5,7825.06,174
East,Home,6,8262.54,181
East,Home,7,6930.39,153
East,Home,8,8492.96,187
East,Home,9,8264.23,186
East,Home,10,8503.81,187
East,Home,11,7840.41,172
East,Home,12,9252.04,207
East,Home,13,9997.380000000001,222
East,Home,14,10327.38,226
East,Home,15,8634.42,192
East,Home,16,9447.1,211
East,Home,17,8528.88,190
East,Home,18,9339.66,205
East,Home,19,9955.42,220
East,Home,20,8580.67,190
East,Home,21,8936.4,197
East,Home,22,7645.4400000000005,171
East,Home,23,8273.94,184
East,Home,24,9762.35,216
East,Home,25,9324.01,206
East,Home,26,10093.1,223
East,Home,27,9419.130000000001,210
East,Home,28,9688.6,212
East,Home,29,8095.75,182
East,Home,30,8981.95,199
East,Home,31,7906.02,177
East,Home,32,9099.79,200
East,Home,33,8603.35,193
East,Home,34,9416.66,209
East,Home,35,9873.76,218
East,Home,36,8632.6,192
East,Home,37,9264.2,203
East,Home,38,8896.55,199
East,Home,39,9527.94,210
East,Home,40,9549.58,212
East,Outdoor,34,5578.860000000001,92
East,Outdoor,35,5375.860000000001,90
East,Outdoor,36,5365.9400000000005,90
East,Outdoor,37,4722.66,78
East,Outdoor,38,6046.68,102
East,Outdoor,39,6013.78,101
East,Outdoor,40,5594.04,94
West,Accessories,1,312.16,21
West,Accessories,2,420.01,28
West,Accessories,3,572.04,38
West,Accessories,4,538.09,36
West,Accessories,5,569.17,38
West,Accessories,6,535.06,35
West,Accessories,7,376.48,25
West,Accessories,8,601.48,40
West,Accessories,9,476.79,31
West,Accessories,10,405.29,27
West,Accessories,11,297.67,20
West,Accessories,12,520.21,35
West,Accessories,13,484.07,33
West,Accessories,14,397.93,26
West,Accessories,15,499.72,34
West,Accessories,16,435.73,29
West,Accessories,17,483.94,32
West,Accessories,18,574.09,38
West,Accessories,19,363.90000000000003,24
West,Accessories,20,389.7,26
West,Accessories,21,552.38,37
West,Accessories,22,434.17,29
West,Accessories,23,595.5600000000001,40
West,Accessories,24,468.54,31
West,Accessories,25,465.25,31
West,Accessories,26,454.57,30
West,Accessories,27,647.5600000000001,43
West,Accessories,28,346.16,23
West,Accessories,29,587.14,40
West,Accessories,30,580.63,39
West,Accessories,31,591.12,40
West,Accessories,32,390.02,26
West,Accessories,33,273.35,18
West,Accessories,34,472.0,31
West,Accessories,35,466.99,31
West,Accessories,36,525.17,35
West,Accessories,37,347.25,23
West,Accessories,38,389.53,26
West,Accessories,39,439.83,29
West,Accessories,40,420.21,28
West,Apparel,1,6760.1,225
West,Apparel,2,6492.759999999999,213
West,Apparel,3,6171.38,205
West,Apparel,4,6670.88,225
West,Apparel,5,6344.9,210
West,Apparel,6,5925.91,195
West,Apparel,7,6803.84,228
West,Apparel,8,7359.27,245
West,Apparel,9,7016.5199999999995,236
West,Apparel,10,6442.6,218
West,Apparel,11,7173.0,241
West,Apparel,12,7149.84,237
West,Apparel,13,6333.49,210
West,Apparel,14,6353.82,211
West,Apparel,15,7214.71,242
West,Apparel,16,6048.96,203
West,Apparel,17,7586.07,253
West,Apparel,18,6880.17,230
West,Apparel,19,7309.95,243
West,Apparel,20,6987.650000000001,230
West,Apparel,21,7267.51,241
West,Apparel,22,7391.47,246
West,Apparel,23,6633.280000000001,219
West,Apparel,24,7516.5,253
West,Apparel,25,7784.91,260
West,Apparel,26,6904.3,232
West,Apparel,27,7120.3099999999995,236
West,Apparel,28,7602.49,251
West,Apparel,29,6713.07,224
West,Apparel,30,7426.32,247
West,Apparel,31,7215.62,239
West,Apparel,32,6000.21,202
West,Apparel,33,6612.14,218
West,Apparel,34,6253.280000000001,209
West,Apparel,35,6283.84,210
West,Apparel,36,6062.86,206
West,Apparel,37,6583.099999999999,217
West,Apparel,38,6188.85,207
West,Apparel,39,6822.5599999999995,226
West,Apparel,40,6073.99,201
West,Electronics,1,32484.62,273
West,Electronics,2,34337.36,288
West,Electronics,3,28789.07,241
West,Electronics,4,31228.74,265
West,Electronics,5,30063.89,252
West,Electronics,6,32824.44,272
West,Electronics,7,32050.27,268
West,Electronics,8,34008.85,285
West,Electronics,9,34693.38,290
West,Electronics,10,29264.66,239
West,Electronics,11,33985.31,281
West,Electronics,12,30885.190000000002,254
West,Electronics,13,32236.420000000002,270
West,Electronics,14,30849.42,259
West,Electronics,15,32580.29,270
West,Electronics,16,32290.65,272
West,Electronics,17,29339.77,246
West,Electronics,18,32241.81,272
West,Electronics,19,31827.93,265
West,Electronics,20,30979.26,266
West,Electronics,21,33308.35,279
West,Electronics,22,32223.39,267
West,Electronics,23,33434.36,281
West,Electronics,24,30718.81,252
West,Electronics,25,32427.64,267
West,Electronics,26,31920.54,267
West,Electronics,27,30176.78,245
West,Electronics,28,34815.83,285
West,Electronics,29,36595.93,299
West,Electronics,30,32887.74,276
West,Electronics,31,29518.3,247
West,Electronics,32,29248.2,243
West,Electronics,33,28176.18,236
West,Electronics,34,31768.760000000002,266
West,Electronics,35,30891.18,253
West,Electronics,36,30536.44,254
West,Electronics,37,29752.74,247
West,Electronics,38,28007.57,231
West,Electronics,39,30710.47,261
West,Electronics,40,31151.15,258
West,Home,1,8430.26,187
West,Home,2,7263.94,162
West,Home,3,8527.02,192
West,Home,4,8501.1,189
West,Home,5,9037.14,207
West,Home,6,9564.18,212
West,Home,7,9796.960000000001,218
West,Home,8,8747.46,194
West,Home,9,9585.94,211
West,Home,10,9032.11,198
West,Home,11,8448.19,188
West,Home,12,9089.53,203
West,Home,13,9608.5,215
West,Home,14,7953.740000000001,179
West,Home,15,8208.130000000001,183
West,Home,16,8670.289999999999,196
West,Home,17,9227.21,202
West,Home,18,8515.12,189
West,Home,19,7971.0,177
West,Home,20,8293.81,186
West,Home,21,8782.5,192
West,Home,22,10157.71,222
West,Home,23,8862.05,198
West,Home,24,9062.98,202
West,Home,25,8521.26,190
West,Home,26,9044.45,201
West,Home,27,9652.119999999999,218
West,Home,28,8472.130000000001,187
West,Home,29,7869.639999999999,175
West,Home,30,9436.45,210
West,Home,31,8898.869999999999,195
West,Home,32,7724.89,171
West,Home,33,8470.960000000001,189
West,Home,34,8607.28,189
West,Home,35,7511.46,166
West,Home,36,8177.3,180
West,Home,37,8096.610000000001,181
West,Home,38,7884.17,175
West,Home,39,8346.98,186
West,Home,40,7934.66,175
West,Outdoor,34,6060.4,101
West,Outdoor,35,5743.46,96
West,Outdoor,36,5059.45,83
West,Outdoor,37,4705.98,79
West,Outdoor,38,5911.77,98
West,Outdoor,39,5724.07,95
West,Outdoor,40,5914.29,99
