week,week_start,region,channel,spend_usd,attributed_revenue_usd
5,2025-02-03,Central,Social,2596.79,6369.27
5,2025-02-03,Central,Display,1696.33,3784.21
5,2025-02-03,Central,Email,431.43,1032.75
6,2025-02-10,West,Search,4629.78,11978.03
6,2025-02-10,West,Social,2317.01,5462.71
6,2025-02-10,West,Display,1726.85,3557.76
6,2025-02-10,West,Email,374.75,839.37
6,2025-02-10,East,Search,4101.04,8934.62
6,2025-02-10,East,Social,2597.16,7244.34
6,2025-02-10,East,Display,1551.57,3921.49
6,2025-02-10,East,Email,399.41,883.67
6,2025-02-10,Central,Search,3521.88,8637.6
6,2025-02-10,Central,Social,2300.28,5671.52
6,2025-02-10,Central,Display,2050.75,4190.59
6,2025-02-10,Central,Email,437.39,1008.22
7,2025-02-17,West,Search,3496.35,7199.11
7,2025-02-17,West,Social,2637.07,6276.85
7,2025-02-17,West,Display,1572.38,3626.45
7,2025-02-17,West,Email,426.35,1065.76
7,2025-02-17,East,Search,4061.29,9697.11
7,2025-02-17,East,Social,2823.07,6974.36
7,2025-02-17,East,Display,1928.37,4479.02
7,2025-02-17,East,Email,396.98,934.65
7,2025-02-17,Central,Search,3943.37,9946.84
7,2025-02-17,Central,Social,2281.68,5017.72
7,2025-02-17,Central,Display,1794.78,4296.59
7,2025-02-17,Central,Email,421.04,1093.78
8,2025-02-24,West,Search,4226.12,9113.23
8,2025-02-24,West,Social,2569.83,5746.45
8,2025-02-24,West,Display,1874.87,3912.1
8,2025-02-24,West,Email,394.39,1035.08
8,2025-02-24,East,Search,4260.43,8901.8
8,2025-02-24,East,Social,2529.32,4687.86
8,2025-02-24,East,Display,1791.52,4710.88
8,2025-02-24,East,Email,362.03,727.24
8,2025-02-24,Central,Search,3980.5,9888.62
8,2025-02-24,Central,Social,2954.56,7060.35
8,2025-02-24,Central,Display,1614.83,3706.93
8,2025-02-24,Central,Email,457.26,1023.27
9,2025-03-03,West,Search,4247.2,9972.9
9,2025-03-03,West,Social,2278.46,5695.22
9,2025-03-03,West,Display,1922.94,3656.07
9,2025-03-03,West,Email,357.42,752.75
9,2025-03-03,East,Search,4451.45,9569.62
9,2025-03-03,East,Social,2683.48,6074.45
9,2025-03-03,East,Display,1810.25,4343.13
9,2025-03-03,East,Email,408.71,938.49
9,2025-03-03,Central,Search,4309.9,10099.79
9,2025-03-03,Central,Social,2556.39,5659.21
9,2025-03-03,Central,Display,2070.78,4579.45
9,2025-03-03,Central,Email,443.74,959.81
10,2025-03-10,West,Search,4472.22,11881.57
10,2025-03-10,West,Social,2529.8,5480.86
10,2025-03-10,West,Display,1738.19,3991.11
10,2025-03-10,West,Email,410.3,940.41
10,2025-03-10,East,Search,4058.89,10922.09
10,2025-03-10,East,Social,2558.31,5566.83
10,2025-03-10,East,Display,1919.59,4740.03
10,2025-03-10,East,Email,445.2,1195.62
10,2025-03-10,Central,Search,4316.35,9678.76
10,2025-03-10,Central,Social,2204.33,4656.5
10,2025-03-10,Central,Display,1830.03,3776.84
10,2025-03-10,Central,Email,349.28,807.93
11,2025-03-17,West,Search,4460.99,10040.37
11,2025-03-17,West,Social,2786.53,6752.65
11,2025-03-17,West,Display,1965.49,5375.0
11,2025-03-17,West,Email,483.65,1183.17
11,2025-03-17,East,Search,4045.49,9354.66
11,2025-03-17,East,Social,2927.24,6209.71
11,2025-03-17,East,Display,2008.46,4551.21
11,2025-03-17,East,Email,407.27,870.93
11,2025-03-17,Central,Search,3755.23,8427.61
11,2025-03-17,Central,Social,2871.03,6200.29
11,2025-03-17,Central,Display,2032.2,4441.23
11,2025-03-17,Central,Email,365.82,859.94
12,2025-03-24,West,Search,4428.17,10351.36
12,2025-03-24,West,Social,2631.4,6895.82
12,2025-03-24,West,Display,1813.67,4000.8
12,2025-03-24,West,Email,363.74,929.27
12,2025-03-24,East,Search,4056.97,9064.82
12,2025-03-24,East,Social,2818.79,7641.26
12,2025-03-24,East,Display,1836.19,4172.93
12,2025-03-24,East,Email,399.82,883.16
12,2025-03-24,Central,Search,4080.44,9098.97
12,2025-03-24,Central,Social,2789.43,6366.5
12,2025-03-24,Central,Display,1995.74,4543.79
12,2025-03-24,Central,Email,388.26,992.21
13,2025-03-31,West,Search,4207.24,9570.27
13,2025-03-31,West,Social,2606.98,6760.76
13,2025-03-31,West,Display,1844.08,4702.2
13,2025-03-31,West,Email,392.49,988.25
13,2025-03-31,East,Search,4279.86,10599.14
13,2025-03-31,East,Social,2801.06,5914.94
13,2025-03-31,East,Display,1810.36,4510.41
13,2025-03-31,East,Email,435.73,1111.4
13,2025-03-31,Central,Search,4235.19,11045.55
13,2025-03-31,Central,Social,2463.3,4929.18
13,2025-03-31,Central,Display,1760.02,4469.0
13,2025-03-31,Central,Email,365.24,732.68
14,2025-04-07,West,Search,3621.91,8863.5
14,2025-04-07,West,Social,2298.9,5539.9
14,2025-04-07,West,Display,1752.76,3761.2
14,2025-04-07,West,Email,368.04,861.68
14,2025-04-07,East,Search,3946.6,9073.26
14,2025-04-07,East,Social,2683.49,6500.85
14,2025-04-07,East,Display,1934.54,4513.18
14,2025-04-07,East,Email,366.4,876.84
14,2025-04-07,Central,Search,4420.48,10006.6
14,2025-04-07,Central,Social,2540.12,7099.71
14,2025-04-07,Central,Display,1613.8,3871.08
14,2025-04-07,Central,Email,433.47,967.4
15,2025-04-14,West,Search,4143.38,9197.08
15,2025-04-14,West,Social,2600.05,6447.85
15,2025-04-14,West,Display,1771.46,5176.41
15,2025-04-14,West,Email,385.51,992.89
15,2025-04-14,East,Search,4382.76,10175.43
15,2025-04-14,East,Social,2905.92,5753.67
15,2025-04-14,East,Display,1861.23,4014.15
15,2025-04-14,East,Email,386.05,850.62
15,2025-04-14,Central,Search,3876.16,7634.03
15,2025-04-14,Central,Social,2680.87,6130.68
15,2025-04-14,Central,Display,1756.71,4307.17
15,2025-04-14,Central,Email,414.46,931.14
16,2025-04-21,West,Search,5225.11,13081.57
16,2025-04-21,West,Social,3108.52,6891.61
16,2025-04-21,West,Display,1835.96,3768.02
16,2025-04-21,West,Email,389.42,850.2
16,2025-04-21,East,Search,5206.49,11253.85
16,2025-04-21,East,Social,2551.32,5126.28
16,2025-04-21,East,Display,1876.86,3978.85
16,2025-04-21,East,Email,429.39,834.03
16,2025-04-21,Central,Search,4159.13,8030.62
16,2025-04-21,Central,Social,2497.97,5601.85
16,2025-04-21,Central,Display,1713.74,3770.15
16,2025-04-21,Central,Email,431.08,1178.95
17,2025-04-28,West,Search,4314.01,9180.17
17,2025-04-28,West,Social,2613.33,5825.49
17,2025-04-28,West,Display,1928.07,4545.57
17,2025-04-28,West,Email,349.51,880.62
17,2025-04-28,East,Search,4524.86,11760.13
17,2025-04-28,East,Social,2492.58,5882.97
17,2025-04-28,East,Display,1629.39,3730.9
17,2025-04-28,East,Email,412.7,896.72
17,2025-04-28,Central,Search,4315.03,10069.55
17,2025-04-28,Central,Social,2506.43,6465.33
17,2025-04-28,Central,Display,1766.24,4109.28
17,2025-04-28,Central,Email,353.06,848.7
18,2025-05-05,West,Search,4039.76,10064.84
18,2025-05-05,West,Social,2327.28,5553.22
18,2025-05-05,West,Display,1485.78,3600.31
18,2025-05-05,West,Email,394.41,938.64
18,2025-05-05,East,Search,3998.35,8437.07
18,2025-05-05,East,Social,2509.62,5868.51
18,2025-05-05,East,Display,1883.03,4445.39
18,2025-05-05,East,Email,370.02,987.05
18,2025-05-05,Central,Search,4311.83,9380.49
18,2025-05-05,Central,Social,2688.24,6320.58
18,2025-05-05,Central,Display,1774.75,3978.0
18,2025-05-05,Central,Email,431.52,1141.61
19,2025-05-12,West,Search,3515.9,8951.86
19,2025-05-12,West,Social,2604.15,6112.81
19,2025-05-12,West,Display,1994.64,3528.59
19,2025-05-12,West,Email,426.07,1089.26
19,2025-05-12,East,Search,3968.62,8021.42
19,2025-05-12,East,Social,2941.11,5731.4
19,2025-05-12,East,Display,1860.29,4659.31
19,2025-05-12,East,Email,412.69,995.79
19,2025-05-12,Central,Search,4110.95,9835.64
19,2025-05-12,Central,Social,2452.64,5357.08
19,2025-05-12,Central,Display,1805.12,3595.85
19,2025-05-12,Central,Email,418.47,754.85
20,2025-05-19,West,Search,4321.91,10335.3
20,2025-05-19,West,Social,2434.74,4999.02
20,2025-05-19,West,Display,1741.22,4227.58
20,2025-05-19,West,Email,411.06,854.06
20,2025-05-19,East,Search,4235.51,9963.57
20,2025-05-19,East,Social,2645.67,5563.0
20,2025-05-19,East,Display,1822.42,4526.07
20,2025-05-19,East,Email,417.18,993.85
20,2025-05-19,Central,Search,4751.94,11088.93
20,2025-05-19,Central,Social,2424.88,5170.46
20,2025-05-19,Central,Display,1825.35,3673.5
20,2025-05-19,Central,Email,390.05,933.32
21,2025-05-26,West,Search,4593.5,9146.57
21,2025-05-26,West,Social,2620.61,5991.63
21,2025-05-26,West,Display,1805.4,4203.54
21,2025-05-26,West,Email,398.99,1028.76
21,2025-05-26,East,Search,4617.98,12600.9
21,2025-05-26,East,Social,2597.8,5761.56
21,2025-05-26,East,Display,1660.64,3646.96
21,2025-05-26,East,Email,422.87,1046.05
21,2025-05-26,Central,Search,4426.97,9593.72
21,2025-05-26,Central,Social,2462.91,6628.42
21,2025-05-26,Central,Display,1680.19,4340.45
21,2025-05-26,Central,Email,412.95,889.27
22,2025-06-02,West,Search,3802.01,8220.77
22,2025-06-02,West,Social,2686.87,5690.99
22,2025-06-02,West,Display,2023.84,4570.69
22,2025-06-02,West,Email,422.41,1023.91
22,2025-06-02,East,Search,4744.96,10497.77
22,2025-06-02,East,Social,2622.07,5295.84
22,2025-06-02,East,Display,1814.85,4587.95
22,2025-06-02,East,Email,407.02,1124.42
22,2025-06-02,Central,Search,4374.62,9588.81
22,2025-06-02,Central,Social,2694.8,5409.33
22,2025-06-02,Central,Display,1684.95,3465.26
22,2025-06-02,Central,Email,400.52,916.34
23,2025-06-09,West,Search,4604.92,10500.07
23,2025-06-09,West,Social,2391.48,6246.21
23,2025-06-09,West,Display,1375.97,3175.32
23,2025-06-09,West,Email,406.96,935.18
23,2025-06-09,East,Search,4368.03,10143.17
23,2025-06-09,East,Social,2703.93,5893.37
23,2025-06-09,East,Display,1589.9,3642.02
23,2025-06-09,East,Email,367.15,790.95
23,2025-06-09,Central,Search,4590.26,11987.91
23,2025-06-09,Central,Social,2837.68,7070.02
23,2025-06-09,Central,Display,1808.63,4527.17
23,2025-06-09,Central,Email,411.38,1106.41
24,2025-06-16,West,Search,3891.52,9473.98
24,2025-06-16,West,Social,2337.03,5692.23
24,2025-06-16,West,Display,1552.45,3193.84
24,2025-06-16,West,Email,358.96,843.7
24,2025-06-16,East,Search,4319.12,12050.76
24,2025-06-16,East,Social,2581.01,6335.11
24,2025-06-16,East,Display,1823.17,4444.48
24,2025-06-16,East,Email,404.6,1019.55
24,2025-06-16,Central,Search,3846.3,6963.75
24,2025-06-16,Central,Social,2686.82,5209.7
24,2025-06-16,Central,Display,1988.89,4356.42
24,2025-06-16,Central,Email,366.78,1041.68
25,2025-06-23,West,Search,4193.8,9469.51
25,2025-06-23,West,Social,2755.58,6787.25
25,2025-06-23,West,Display,1964.03,3993.68
25,2025-06-23,West,Email,417.16,935.0
25,2025-06-23,East,Search,3890.53,8985.67
25,2025-06-23,East,Social,2223.26,5523.89
25,2025-06-23,East,Display,1758.14,3875.83
25,2025-06-23,East,Email,395.59,896.61
25,2025-06-23,Central,Search,4583.27,9537.13
25,2025-06-23,Central,Social,2520.5,5687.99
25,2025-06-23,Central,Display,1646.62,3839.68
25,2025-06-23,Central,Email,376.84,760.89
26,2025-06-30,West,Search,4376.81,11421.1
26,2025-06-30,West,Social,2610.07,5949.25
26,2025-06-30,West,Display,1782.08,3914.88
26,2025-06-30,West,Email,437.44,1014.35
26,2025-06-30,East,Search,3467.98,8807.94
26,2025-06-30,East,Social,2798.4,6773.02
26,2025-06-30,East,Display,1403.22,3226.58
26,2025-06-30,East,Email,428.59,1018.29
26,2025-06-30,Central,Search,4268.93,10583.12
26,2025-06-30,Central,Social,2628.98,6679.51
26,2025-06-30,Central,Display,1823.29,4223.54
26,2025-06-30,Central,Email,428.56,951.52
27,2025-07-07,West,Search,3831.33,8814.96
27,2025-07-07,West,Social,2722.8,6766.35
27,2025-07-07,West,Display,1934.05,4421.76
27,2025-07-07,West,Email,394.52,860.67
27,2025-07-07,East,Search,4283.96,8447.0
27,2025-07-07,East,Social,2604.73,7475.42
27,2025-07-07,East,Display,1583.44,3691.59
27,2025-07-07,East,Email,412.09,989.55
27,2025-07-07,Central,Search,3875.21,9312.58
27,2025-07-07,Central,Social,2488.82,5013.69
27,2025-07-07,Central,Display,1937.08,4712.77
27,2025-07-07,Central,Email,369.07,808.72
28,2025-07-14,West,Search,4005.12,7895.22
28,2025-07-14,West,Social,2758.59,6786.08
28,2025-07-14,West,Display,1752.1,4019.98
28,2025-07-14,West,Email,403.67,948.17
28,2025-07-14,East,Search,3747.23,8984.69
28,2025-07-14,East,Social,2355.49,5738.63
28,2025-07-14,East,Display,1646.66,3359.14
28,2025-07-14,East,Email,399.1,913.91
28,2025-07-14,Central,Search,4234.86,8984.05
28,2025-07-14,Central,Social,2642.19,6233.97
28,2025-07-14,Central,Display,1967.86,4598.91
28,2025-07-14,Central,Email,380.82,773.29
29,2025-07-21,West,Search,3685.83,8715.5
29,2025-07-21,West,Social,2764.99,5867.18
29,2025-07-21,West,Display,1836.76,4160.54
29,2025-07-21,West,Email,422.98,1046.13
29,2025-07-21,East,Search,3438.55,8618.48
29,2025-07-21,East,Social,2652.46,5818.77
29,2025-07-21,East,Display,1727.5,3984.22
29,2025-07-21,East,Email,383.88,810.98
29,2025-07-21,Central,Search,3962.18,8288.75
29,2025-07-21,Central,Social,2880.09,6656.4
29,2025-07-21,Central,Display,2124.41,5043.81
29,2025-07-21,Central,Email,418.85,874.41
30,2025-07-28,West,Search,4126.68,9551.36
30,2025-07-28,West,Social,2467.45,5445.77
30,2025-07-28,West,Display,1860.5,4442.79
30,2025-07-28,West,Email,357.22,841.87
30,2025-07-28,East,Search,4385.81,9569.6
30,2025-07-28,East,Social,2456.08,5865.85
30,2025-07-28,East,Display,1429.48,3288.39
30,2025-07-28,East,Email,452.3,805.43
30,2025-07-28,Central,Search,4476.49,10783.34
30,2025-07-28,Central,Social,2300.88,5531.53
30,2025-07-28,Central,Display,1944.2,4014.15
30,2025-07-28,Central,Email,377.37,869.92
31,2025-08-04,West,Search,4528.5,9925.45
31,2025-08-04,West,Social,2591.25,5615.28
31,2025-08-04,West,Display,1803.54,4525.68
31,2025-08-04,West,Email,403.39,898.96
31,2025-08-04,East,Search,4188.99,8963.92
31,2025-08-04,East,Social,2393.17,6080.28
31,2025-08-04,East,Display,2035.83,3952.97
31,2025-08-04,East,Email,418.63,1034.76
31,2025-08-04,Central,Search,3792.87,8365.75
31,2025-08-04,Central,Social,2479.97,6646.8
31,2025-08-04,Central,Display,2037.95,4311.83
31,2025-08-04,Central,Email,353.3,867.22
32,2025-08-11,West,Search,4382.77,11170.79
32,2025-08-11,West,Social,2379.71,5817.7
32,2025-08-11,West,Display,1694.63,4108.85
32,2025-08-11,West,Email,398.81,1068.87
32,2025-08-11,East,Search,4350.32,9732.55
32,2025-08-11,East,Social,2628.69,5993.14
32,2025-08-11,East,Display,1633.76,4386.61
32,2025-08-11,East,Email,451.16,1021.76
32,2025-08-11,Central,Search,4435.16,12020.55
32,2025-08-11,Central,Social,2857.27,6396.07
32,2025-08-11,Central,Display,1787.33,3496.91
32,2025-08-11,Central,Email,424.79,1082.61
33,2025-08-18,West,Search,4619.9,11273.52
33,2025-08-18,West,Social,2673.29,5615.07
33,2025-08-18,West,Display,1846.04,4012.67
33,2025-08-18,West,Email,416.81,894.98
33,2025-08-18,East,Search,4374.32,11218.49
33,2025-08-18,East,Social,2678.45,6336.38
33,2025-08-18,East,Display,1931.48,5126.27
33,2025-08-18,East,Email,396.57,953.43
33,2025-08-18,Central,Search,4707.77,11458.05
33,2025-08-18,Central,Social,2183.51,4709.55
33,2025-08-18,Central,Display,1908.15,4236.03
33,2025-08-18,Central,Email,446.09,1191.77
34,2025-08-25,West,Search,4001.68,8377.51
34,2025-08-25,West,Social,2524.87,5595.67
34,2025-08-25,West,Display,2021.2,4230.23
34,2025-08-25,West,Email,423.76,1092.26
34,2025-08-25,East,Search,4475.26,10683.74
34,2025-08-25,East,Social,2566.26,6851.39
34,2025-08-25,East,Display,1764.68,4393.46
34,2025-08-25,East,Email,394.92,762.85
34,2025-08-25,Central,Search,4109.4,9323.17
34,2025-08-25,Central,Social,2570.17,5571.98
34,2025-08-25,Central,Display,1890.11,4625.89
34,2025-08-25,Central,Email,390.21,872.97
35,2025-09-01,West,Search,3846.97,9043.73
35,2025-09-01,West,Social,2886.61,7435.1
35,2025-09-01,West,Display,1713.72,4624.03
35,2025-09-01,West,Email,388.41,814.42
35,2025-09-01,East,Search,3742.42,7802.0
35,2025-09-01,East,Social,2669.42,6002.21
35,2025-09-01,East,Display,1708.99,3641.04
35,2025-09-01,East,Email,365.24,775.06
35,2025-09-01,Central,Search,4541.17,12082.55
35,2025-09-01,Central,Social,2987.95,7282.89
35,2025-09-01,Central,Display,1729.11,3746.01
35,2025-09-01,Central,Email,424.2,954.75
36,2025-09-08,West,Search,4338.4,11653.33
36,2025-09-08,West,Social,2645.1,7288.76
36,2025-09-08,West,Display,1637.73,3913.33
36,2025-09-08,West,Email,410.04,862.39
36,2025-09-08,East,Search,4469.36,11647.87
36,2025-09-08,East,Social,3058.16,7285.31
36,2025-09-08,East,Display,1526.38,3656.3
36,2025-09-08,East,Email,423.74,954.68
36,2025-09-08,Central,Search,4272.28,9413.18
36,2025-09-08,Central,Social,2572.19,6439.47
36,2025-09-08,Central,Display,2000.02,4091.76
36,2025-09-08,Central,Email,383.64,760.49
37,2025-09-15,West,Search,4817.68,11919.68
37,2025-09-15,West,Social,2183.79,4994.53
37,2025-09-15,West,Display,1759.18,3780.15
37,2025-09-15,West,Email,433.16,1084.06
37,2025-09-15,East,Search,4290.54,9317.63
37,2025-09-15,East,Social,2468.28,5698.74
37,2025-09-15,East,Display,1734.17,3986.58
37,2025-09-15,East,Email,417.86,832.92
37,2025-09-15,Central,Search,3945.25,9047.49
37,2025-09-15,Central,Social,2925.59,7223.48
37,2025-09-15,Central,Display,1799.48,4283.6
37,2025-09-15,Central,Email,396.75,998.01
38,2025-09-22,West,Search,4345.74,11106.67
38,2025-09-22,West,Social,2318.09,4957.84
38,2025-09-22,West,Display,1839.54,4412.5
38,2025-09-22,West,Email,476.81,924.27
38,2025-09-22,East,Search,4188.89,9569.16
38,2025-09-22,East,Social,2649.47,7012.23
38,2025-09-22,East,Display,1926.18,3812.3
38,2025-09-22,East,Email,449.08,1168.14
38,2025-09-22,Central,Search,4288.39,8475.78
38,2025-09-22,Central,Social,2568.46,6148.25
38,2025-09-22,Central,Display,1943.5,3781.88
38,2025-09-22,Central,Email,375.39,945.83
39,2025-09-29,West,Search,4704.59,11225.66
39,2025-09-29,West,Social,2838.89,6787.95
39,2025-09-29,West,Display,1938.68,4515.24
39,2025-09-29,West,Email,415.36,853.83
39,2025-09-29,East,Search,4442.64,9105.32
39,2025-09-29,East,Social,2749.97,6083.5
39,2025-09-29,East,Display,1853.28,3909.38
39,2025-09-29,East,Email,383.88,911.19
39,2025-09-29,Central,Search,4453.46,11217.18
39,2025-09-29,Central,Social,2360.78,4721.03
39,2025-09-29,Central,Display,1659.56,3463.29
39,2025-09-29,Central,Email,450.14,1155.97
40,2025-10-06,West,Search,3865.14,10211.93
40,2025-10-06,West,Social,2866.34,5658.39
40,2025-10-06,West,Display,1651.65,3250.68
40,2025-10-06,West,Email,397.23,915.01
40,2025-10-06,East,Search,4205.22,7967.44
40,2025-10-06,East,Social,2303.13,5417.04
40,2025-10-06,East,Display,1889.6,3582.75
40,2025-10-06,East,Email,359.0,899.12
40,2025-10-06,Central,Search,3788.62,8702.68
40,2025-10-06,Central,Social,2325.53,5735.46
40,2025-10-06,Central,Display,1509.55,3380.06
40,2025-10-06,Central,Email,430.09,1041.68
